event_id,home_score,away_score,total_points,home_win,away_win,draw,score_diff
02215bf650dd87b56ff21acf78cceb4c,1.0,0.0,1.0,1,0,0,1.0
1e83ac328cda1e65b36a4a54529818ca,0.0,0.0,0.0,0,0,1,0.0
2fd1bce6d043c8f22ac76de556176e2d,2.0,0.0,2.0,1,0,0,2.0
4abefb86f8d345cf3475a6c89835c08b,2.0,1.0,3.0,1,0,0,1.0
799027b6c6338bee11971a02c8178e1e,0.0,2.0,2.0,0,1,0,-2.0
85554be8d451d2790b3797cc44b9ed93,1.0,2.0,3.0,0,1,0,-1.0
93a55a02ca37079f302acd2efe8ff820,2.0,3.0,5.0,0,1,0,-1.0
978cbc0a04d25a3453c70748c186c2f5,1.0,0.0,1.0,1,0,0,1.0
c0824b3082e150ce9c2e6c38d5dc5817,1.0,0.0,1.0,1,0,0,1.0
d21395c145a6571a11668b31390df59a,1.0,1.0,2.0,0,0,1,0.0
e8c8ed68ca15ff287631f90f507be737,1.0,0.0,1.0,1,0,0,1.0
